common.breadcrumb	Ruta de navegación
common.close	Cerrar
common.explore	Explorar
common.home	Inicio
common.copyLink	Copiar enlace
common.copied	Copiado
common.preview	Vista previa
common.learnMore	Saber más
common.readMore	Leer más
common.viewAll	Ver todo
common.getStarted	Empezar
common.contactUs	Contáctenos
common.getQuote	Solicitar presupuesto
common.previous	Anterior
common.next	Siguiente
common.loading	Cargando...
common.error	Error
common.success	Correcto
common.back	Volver
common.requestQuote	Solicitar un presupuesto
common.exploreProducts	Explorar productos
common.downloadCatalog	Descargar catálogo
common.watchVideo	Ver vídeo
common.submit	Enviar
common.cancel	Cancelar
common.searchPlaceholder	Buscar...
common.keyFeatures	Características principales
common.technicalSpecifications	Especificaciones técnicas
common.citableSummary	Resumen citable
common.viewDetails	Ver detalles →
common.viewServices	Ver servicios
common.backToComponents	Volver a componentes
nav.products	Productos IPL
nav.customIpl	IPL personalizado
nav.services	Servicios
nav.components	Componentes
nav.about	Sobre nosotros
nav.clients	Clientes
nav.blog	Blog
nav.faq	Preguntas frecuentes
nav.contact	Contacto
nav.media	Multimedia
nav.upload	Subir
nav.venus	Venus
nav.hestia	Hestia
nav.alpha	Alpha
nav.emerald	Emerald
nav.euno	Euno
nav.themis	Themis
nav.lumi2	Lumi 2
nav.lumi	Lumi
nav.wooden	Golden Luxury
nav.hebe	Hebe
nav.helix	Helix
nav.eirene	Eirene
nav.customDesign	Diseño personalizado
nav.multiFunction	IPL multifunción
nav.dualLamp	Doble lámpara
nav.multiHead	Diseño con cabezales múltiples
nav.iceCooling	Tecnología de enfriamiento con hielo
nav.skinSensor	Sensor de piel
nav.customEnergy	Energía personalizable
nav.smartApp	Control mediante app inteligente
nav.forMen	Para hombres
nav.forStartups	Para empresas emergentes
nav.fdaCleared	Autorizado por la FDA
nav.globalShipping	Envío internacional
nav.expertise	Más de 15 años de experiencia
nav.brandingPackaging	Marca y embalaje
nav.aftersalesSupport	Servicio posventa
nav.compliance	Cumplimiento normativo
nav.oemOdm	Servicios OEM/ODM
nav.productDesign	Diseño de producto
nav.production	Producción y ensamblaje
nav.packaging	Embalaje y logística
nav.coolingSystem	Sistema de enfriamiento
nav.lampCartridges	Cartuchos de lámpara
nav.opticalFilters	Filtros ópticos
nav.powerSupply	Fuente de alimentación
nav.brandStory	Historia de la marca
nav.companyProfile	Perfil de la empresa
nav.manufacturing	Capacidades de fabricación
nav.quality	Control de calidad
nav.iplComponentsCatalogue	Componentes IPL
nav.serviceSupport	Servicio y soporte
nav.catalogue	Catálogo
footer.tagline	Fabricante líder de depiladoras IPL especializado en servicios OEM/ODM con más de 15 años de experiencia.
footer.quickLinks	Enlaces rápidos
footer.ourServices	Nuestros servicios
footer.company	Empresa
footer.products	Productos
footer.support	Soporte
footer.legalCompliance	Legal y cumplimiento
footer.privacyPolicy	Política de privacidad
footer.terms	Términos del servicio
footer.certifications	Certificaciones
footer.newsletter	Boletín
footer.newsletterText	Suscríbete para recibir las últimas novedades sobre tecnología IPL y perspectivas del sector de fabricación.
footer.emailPlaceholder	Introduzca tu correo electrónico
footer.subscribe	Suscribirse
footer.allRightsReserved	Todos los derechos reservados.
footer.followUs	Síganos
footer.trustedBy	Con la confianza de
footer.certifiedBy	Certificado por
footer.getInTouch	PONTE EN CONTACTO
footer.callUs	LLÁMANOS
footer.emailUs	ESCRÍBENOS
footer.contactButton	Contacta con nuestro equipo
footer.companyIntro	Fundada en Shenzhen en 2010, damos servicio a marcas de belleza, minoristas y equipos de compras en mercados de todo el mundo.
footer.companyRegistration	Registrada en China · N.º de empresa 91440300MA5GW6335H
footer.copyright	© iShine Technology Ltd 2026. Todos los derechos reservados.
home.hero.title	Servicios de fabricación IPL
home.hero.subtitle1	Diseño y producción a medida para grandes cadenas, minoristas globales y marcas de belleza.
home.hero.subtitle2	Proveedores líderes en soluciones a medida de depiladoras IPL.
home.hero.subtitle3	De la idea al mercado: iShine te ayuda a diseñarlo, fabricarlo y envasarlo.
home.hero.badge	MDSAP
home.features.advancedManufacturing.title	Fabricación avanzada
home.features.advancedManufacturing.description	Instalaciones de última generación con capacidades de producción integrales para depiladoras IPL.
home.features.qualityAssurance.title	Garantía de calidad
home.features.qualityAssurance.description	Rigurosos procesos de control de calidad que garantizan que cada depiladora cumple los estándares internacionales.
home.features.customSolutions.title	Soluciones a medida
home.features.customSolutions.description	Depiladoras IPL totalmente personalizables, adaptados a la identidad de tu marca y a las necesidades del mercado.
home.features.certifiedExcellence.title	Excelencia certificada
home.features.certifiedExcellence.description	Productos aprobados por la FDA y certificados CE, con un soporte integral de cumplimiento normativo.
home.features.globalPartnership.title	Alianzas globales
home.features.globalPartnership.description	La confianza de las principales marcas del mundo, como Costco, ROSESKINCO y KU-2.
home.features.marketSuccess.title	Éxito en el mercado
home.features.marketSuccess.description	Desde el lanzamiento hasta la expansión, le acompañamos en el camino de la idea al liderazgo del mercado.
home.products.roseSkin.name	RoseSkin - Caso de estudio IPL
home.products.roseSkin.description	Transformando las rutinas de belleza con tecnología de refrigeración de zafiro de primera calidad
home.products.costco.name	Costco - Caso de estudio IPL
home.products.costco.description	Ofreciendo excelencia en el comercio minorista con depiladoras IPL de control inteligente por app
home.products.ku2.name	KU2 - Caso de estudio IPL
home.products.ku2.description	Éxito en el mercado europeo gracias a una innovadora tecnología de doble lámpara
home.products.happySkin.name	HappySkinCo - Caso de estudio IPL
home.products.happySkin.description	Estética de lujo al nivel de los estándares avanzados de rendimiento IPL
home.capabilities.items[0]	Diseño a medida de dispositivos IPL moldeados
home.capabilities.items[1]	Servicios de prototipado rápido
home.capabilities.items[2]	Integración de tecnología de refrigeración por hielo
home.capabilities.items[3]	Desarrollo de IPL multifunción
home.capabilities.items[4]	Dispositivos inteligentes conectados a app
home.capabilities.items[5]	Personalización de Venus IPL
home.capabilities.items[6]	Diseño de sistemas de doble lámpara
home.capabilities.items[7]	Tecnología de sensor de piel
home.capabilities.items[8]	Impresión de logotipos y branding
home.capabilities.items[9]	Soluciones integrales de embalaje
home.capabilities.items[10]	Soporte de cumplimiento FDA y CE
home.capabilities.items[11]	Envíos y logística globales
home.whoWeAre.title	Quiénes somos
home.whoWeAre.p1	<b>iShine Technology colabora con minoristas globales y líderes del sector de la belleza —como Costco, RoseSkinCo y KU2 Cosmetics— para ofrecer innovadores depiladoras IPL de uso doméstico.</b> Ayudamos a las marcas a expandirse en el mercado de la tecnología de la belleza, en pleno crecimiento, con productos que combinan tecnología avanzada, seguridad y excelencia en el diseño.
home.whoWeAre.p2	Como fabricante <b>OEM y ODM</b> de servicio completo, ofrecemos <b>soluciones integrales</b>: desde el diseño conceptual y el prototipado hasta la producción a gran escala, el embalaje a medida y la logística mundial.
home.whoWeAre.p3	Nuestro equipo colabora estrechamente con <b>propietarios de marca, gestores de producto, especialistas en compras y diseñadores</b> para garantizar que cada proyecto se entregue a tiempo, dentro del presupuesto y alineado con la identidad de la marca.
home.whoWeAre.p4	Con alianzas exitosas en <b>Oriente Medio, Alemania y Turquía</b>, iShine se ha ganado la confianza de empresas líderes convirtiendo ideas en depiladoras IPL listos para el mercado que impulsan el crecimiento y la fidelidad de los clientes.
home.whoWeAre.companyProfile	LEER MÁS
home.whoWeAre.ourStory	Nuestra historia
home.whyWork.title	¿Por qué trabajar con iShine?
home.whyWork.description	No somos de los que se alaban a sí mismos, así que dejamos que hablen nuestros clientes. Esto es lo que dicen de nosotros.
home.collaborating.title	Marcas y socios colaboradores
home.clients.costco.testimonial	Las depiladoras IPL de iShine han superado nuestras expectativas. La calidad y la fiabilidad son sobresalientes, lo que los hace perfectos para nuestros clientes del comercio minorista.
home.clients.costco.role	Director de Compras
home.clients.roseskin.testimonial	Trabajar con iShine ha sido un punto de inflexión para nuestro negocio de belleza. Sus soluciones a medida y su soporte no tienen igual en el sector.
home.clients.roseskin.role	CEO
home.clients.ku2.testimonial	La precisión y la innovación de la tecnología IPL de iShine nos han ayudado a ofrecer resultados excepcionales a nuestros clientes europeos.
home.clients.ku2.role	Director Técnico
home.stats.experience	Años de experiencia
home.stats.products	Modelos de producto
home.stats.countries	Países atendidos
home.stats.capacity	Unidades/mes
home.whyChoose.title	¿Por qué elegir iShine?
home.whyChoose.subtitle	Tu socio de confianza en la fabricación de depiladoras IPL
home.testimonials.title	Historias de éxito de nuestros clientes
home.testimonials.subtitle	La confianza de las principales marcas de tecnología de la belleza del mundo
home.page.title	iShine - Fabricante profesional de depiladoras IPL
home.page.description	iShine es un fabricante OEM y ODM de depiladoras IPL que ofrece diseño a medida, producción conforme a normativa, embalaje y entrega global para marcas de belleza y minoristas.
home.quickFeatures[0].title	Fabricación avanzada
home.quickFeatures[0].description	Instalaciones de última generación con capacidades de producción integrales para dispositivos IPL.
home.quickFeatures[1].title	Garantía de calidad
home.quickFeatures[1].description	Dispositivos aprobados por la FDA con soporte integral de pruebas y certificación.
home.quickFeatures[2].title	Equipo experto
home.quickFeatures[2].description	Más de 15 años de experiencia en tecnología IPL y fabricación de dispositivos de belleza.
home.quickFeatures[3].title	Alcance global
home.quickFeatures[3].description	Damos servicio a marcas de todo el mundo con soluciones fiables de envío y logística.
home.heroSection.title	Fabricamos depiladoras IPL de alto rendimiento
home.heroSection.description	Diseño y producción a medida para grandes cadenas, minoristas globales y marcas de belleza. De la idea al mercado, iShine le ayuda a crear productos IPL conformes, premium y listos para la venta.
home.heroSection.cta	Solicita un presupuesto gratuito
home.whoWeAreSection.subtitle	Un socio de fabricación IPL integral para marcas de belleza globales
home.whoWeAreSection.cta	Conoce a iShine
home.productShowcase.kicker	Nuestros productos
home.productShowcase.title	Nuestra gama de productos IPL
home.productShowcase.description	De la refrigeración de zafiro premium a los dispositivos controlados por app inteligente, descubre nuestra gama completa de soluciones IPL personalizables.
home.productShowcase.cta	Explorar producto →
home.productShowcase.viewAll	Ver todos los productos
home.productCards.venus.name	Venus
home.productCards.venus.tagline	Refrigeración de hielo premium
home.productCards.lumi2.name	Lumi 2
home.productCards.lumi2.tagline	Control inteligente por app
home.productCards.hebe.name	Hebe
home.productCards.hebe.tagline	Sensor de piel con IA
home.productCards.golden.name	Golden
home.productCards.golden.tagline	Edición de lujo
home.testimonialsSection.kicker	Testimonios
home.testimonialsSection.title	¿Por qué trabajar con iShine?
home.testimonialsSection.description	No somos de los que se alaban a sí mismos, así que dejamos que hablen nuestros clientes. Tus comentarios demuestran cómo es una ejecución fiable en proyectos B2B reales.
home.testimonialsSection.seeAll	Ver todos los casos de estudio
home.partnersSection.kicker	Socios
home.partnersSection.title	Marcas y socios colaboradores
home.caseStudies.kicker	Nuestro trabajo
home.caseStudies.title	Casos de estudio que demuestran que el modelo de fabricación funciona
home.caseStudies.description	Somos un fabricante especializado en depiladoras IPL en Shenzhen, en el que confían minoristas globales y marcas de belleza por nuestra rapidez, cumplimiento y capacidad de ejecución.
home.caseStudies.items[0].title	RoseSkin - Caso de estudio IPL
home.caseStudies.items[0].description	Transformando las rutinas de belleza con tecnología de refrigeración de zafiro de primera calidad.
home.caseStudies.items[1].title	Costco - Caso de estudio IPL
home.caseStudies.items[1].description	Ofreciendo excelencia en el comercio minorista con dispositivos IPL de control inteligente por app.
home.caseStudies.items[2].title	KU2 - Caso de estudio IPL
home.caseStudies.items[2].description	Éxito en el mercado europeo gracias a una innovadora tecnología de doble lámpara.
home.caseStudies.items[3].title	HappySkinCo - Caso de estudio IPL
home.caseStudies.items[3].description	Estética de lujo al nivel de los estándares avanzados de rendimiento IPL.
home.caseStudies.badge	Caso de estudio
home.caseStudies.cta	Ver caso de estudio →
home.capabilitiesSection.kicker	Capacidades
home.capabilitiesSection.title	Capacidades de fabricación integrales
home.capabilitiesSection.description	Del concepto inicial a la entrega final, gestionamos cada aspecto de la producción de depiladoras IPL con precisión y experiencia.
home.capabilitiesSection.cta	Más información sobre nuestros servicios
home.capabilityStats[0].value	15+
home.capabilityStats[0].label	Años de experiencia
home.capabilityStats[1].value	50+
home.capabilityStats[1].label	Socios globales
home.capabilityStats[2].value	500K+
home.capabilityStats[2].label	Dispositivos fabricados
home.capabilityStats[3].value	FDA
home.capabilityStats[3].label	Dispositivos aprobados
home.technologiesSection.kicker	Tecnologías
home.technologiesSection.title	Tecnologías IPL avanzadas
home.technologiesSection.description	Funciones de vanguardia que diferencian nuestras depiladoras IPL en el mercado global.
home.technologiesSection.items[0]	Tecnología de sensor de piel con IA
home.technologiesSection.items[1]	Refrigeración de hielo Venus
home.technologiesSection.items[2]	Control inteligente por app
home.technologiesSection.items[3]	Sistema de doble lámpara
home.technologiesSection.items[4]	Capacidades multifunción
home.technologiesSection.items[5]	Diseño multicabezal
home.technologiesSection.itemDescription	Módulos de vanguardia que ayudan a las marcas a diferenciarse en rendimiento, comodidad y experiencia de usuario.
home.technologiesSection.cta	Saber más →
home.qualitySection.kicker	Calidad
home.qualitySection.title	Garantía de calidad y certificaciones globales
home.qualitySection.description	Cada depiladora se somete a rigurosas pruebas y procesos de control de calidad para cumplir los estándares internacionales más exigentes. Nuestras certificaciones abren las puertas de los mercados globales.
home.qualitySection.items[0].title	Dispositivos aprobados por la FDA
home.qualitySection.items[0].description	Soporte integral para el proceso de aprobación de la FDA y el cumplimiento normativo continuo.
home.qualitySection.items[1].title	Marcado CE
home.qualitySection.items[1].description	Cumplimiento normativo para el mercado europeo con una distribución sin fricciones.
home.qualitySection.items[2].title	Certificación ISO 13485
home.qualitySection.items[2].description	Certificación del sistema de gestión de calidad para dispositivos médicos.
home.qualitySection.items[3].title	Cumplimiento MDSAP
home.qualitySection.items[3].description	Programa de Auditoría Única de Dispositivos Médicos para múltiples mercados.
home.qualitySection.stats[0]	100% de cobertura de pruebas
home.qualitySection.stats[1]	Productos aprobados por la FDA
home.qualitySection.stats[2]	Certificación CE
home.qualitySection.stats[3]	Certificación ISO 13485
home.qualitySection.cta	Conoce nuestro proceso de calidad
home.statsSection.kicker	Nuestra escala en cifras
home.statsSection.title	La confianza de los líderes del sector en todo el mundo
home.statsSection.description	Cifras que demuestran nuestro compromiso con la excelencia y el éxito de nuestras alianzas.
home.statsSection.stats[0].value	15+
home.statsSection.stats[0].label	Años de experiencia
home.statsSection.stats[1].value	500K+
home.statsSection.stats[1].label	Dispositivos fabricados
home.statsSection.stats[2].value	50+
home.statsSection.stats[2].label	Socios globales
home.statsSection.stats[3].value	20+
home.statsSection.stats[3].label	Países atendidos
home.statHighlights[0].title	Grandes minoristas
home.statHighlights[0].description	La confianza de las principales cadenas minoristas, incluida Costco Canadá, por nuestra calidad constante y fiabilidad.
home.statHighlights[1].title	Marcas de belleza
home.statHighlights[1].description	Impulsamos marcas de tecnología de belleza de éxito en los mercados de Estados Unidos, Europa y Oriente Medio.
home.statHighlights[2].title	Startups globales
home.statHighlights[2].description	Apoyamos a startups innovadoras desde el concepto hasta el mercado, con MOQ flexibles y asesoramiento experto.
home.blogSection.kicker	Blog
home.blogSection.title	Últimas ideas y recursos
home.blogSection.description	Manténgase al día de las últimas tendencias, tecnologías y buenas prácticas en la fabricación de depiladoras IPL.
home.blogSection.viewAll	Ver todos los artículos
home.blogSection.cta	Leer artículo →
