common.breadcrumb	Breadcrumb
common.close	Close
common.explore	Explore
common.home	Home
common.copyLink	Copy Link
common.copied	Copied
common.preview	Preview
common.learnMore	Learn More
common.readMore	Read More
common.viewAll	View All
common.getStarted	Get Started
common.contactUs	Contact Us
common.getQuote	Get Quote
common.previous	Previous
common.next	Next
common.loading	Loading...
common.error	Error
common.success	Success
common.back	Back
common.requestQuote	Request Quote
common.exploreProducts	Explore Products
common.downloadCatalog	Download Catalog
common.watchVideo	Watch Video
common.submit	Submit
common.cancel	Cancel
common.searchPlaceholder	Search...
common.keyFeatures	Key Features
common.technicalSpecifications	Technical Specifications
common.citableSummary	Citable Summary
common.viewDetails	View details →
common.viewServices	View services
common.backToComponents	Back to components
nav.products	IPL Products
nav.customIpl	Custom IPL
nav.services	Services
nav.components	Components
nav.about	About
nav.clients	Clients
nav.blog	Blog
nav.faq	FAQ
nav.contact	Contact
nav.media	Media
nav.upload	Upload
nav.venus	Venus
nav.hestia	Hestia
nav.alpha	Alpha
nav.emerald	Emerald
nav.euno	Euno
nav.themis	Themis
nav.lumi2	Lumi 2
nav.lumi	Lumi
nav.wooden	Golden Luxury
nav.hebe	Hebe
nav.helix	Helix
nav.eirene	Eirene
nav.customDesign	Custom Design
nav.multiFunction	Multi-Function IPL
nav.dualLamp	Dual Lamp
nav.multiHead	Multi-Head Design
nav.iceCooling	Ice Cooling Technology
nav.skinSensor	Skin Sensor
nav.customEnergy	Custom Energy
nav.smartApp	Smart App Control
nav.forMen	For Men
nav.forStartups	For Startups
nav.fdaCleared	FDA Cleared
nav.globalShipping	Global Shipping
nav.expertise	15+ Years Expertise
nav.brandingPackaging	Branding & Packaging
nav.aftersalesSupport	Aftersales Support
nav.compliance	Regulatory Compliance
nav.oemOdm	OEM/ODM Services
nav.productDesign	Product Design
nav.production	Production & Assembly
nav.packaging	Packaging & Logistics
nav.coolingSystem	Cooling System
nav.lampCartridges	Lamp Cartridges
nav.opticalFilters	Optical Filters
nav.powerSupply	Power Supply
nav.brandStory	Brand Story
nav.companyProfile	Company Profile
nav.manufacturing	Manufacturing Capabilities
nav.quality	Quality Control
nav.iplComponentsCatalogue	IPL Components
nav.serviceSupport	Service & Support
nav.catalogue	Catalogue
footer.tagline	Leading IPL device manufacturer specializing in OEM/ODM services with 15+ years of experience.
footer.quickLinks	Quick Links
footer.ourServices	Our Services
footer.company	Company
footer.products	Products
footer.support	Support
footer.legalCompliance	Legal & Compliance
footer.privacyPolicy	Privacy Policy
footer.terms	Terms of Service
footer.certifications	Certifications
footer.newsletter	Newsletter
footer.newsletterText	Subscribe to get the latest updates on IPL technology and manufacturing insights.
footer.emailPlaceholder	Enter your email
